Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Seed
FedHST,FashionMNIST,0.5,0.7,0.9999,12,0.5885349123477935,0.7864362183613809,79.04,24,100,54410,9.68464732170105,9.673784255981445,0.010863065719604492,0.010248899459838867,122.98046875,2
FedHST,FashionMNIST,0.5,0.7,0.9999,13,0.6172941243171692,0.760620979625559,77.53,25,100,54410,12.87642502784729,12.866242408752441,0.010182619094848633,0.009564399719238281,122.98046875,2
FedHST,FashionMNIST,0.5,0.7,0.9999,14,0.6013775506973267,0.7636754408000397,79.26,22,100,54410,10.360350847244263,10.350663185119629,0.009687662124633789,0.009116172790527344,122.98046875,2
FedHST,FashionMNIST,0.5,0.7,0.9999,15,0.4552311037302017,0.8275521534263015,83.71,21,100,54410,8.798447608947754,8.789968252182007,0.00847935676574707,0.007912635803222656,122.98046875,2
FedHST,FashionMNIST,0.5,0.7,0.9999,16,0.5349652719020843,0.7951280303582106,80.27,21,100,54410,7.449766635894775,7.441606283187866,0.00816035270690918,0.007628202438354492,122.98046875,2
FedHST,FashionMNIST,0.5,0.7,0.9999,17,0.4686786406993866,0.8262518105981759,82.77,22,100,54410,9.06601095199585,9.05624794960022,0.009763002395629883,0.00914907455444336,122.98046875,2
FedHST,FashionMNIST,0.5,0.7,0.9999,18,0.42605708215236665,0.8431349207080936,84.58,28,100,54410,10.609030485153198,10.596289873123169,0.012740612030029297,0.012144088745117188,122.98046875,2
FedHST,FashionMNIST,0.5,0.7,0.9999,19,0.4309793294429779,0.8387504032346051,84.37,29,100,54410,12.122993469238281,12.111786842346191,0.011206626892089844,0.010663986206054688,122.98046875,2
FedHST,FashionMNIST,0.5,0.7,0.9999,20,0.47212534096241,0.8251380114617488,83.15,26,100,54410,9.721366167068481,9.711002826690674,0.010363340377807617,0.009765863418579102,122.98046875,2
FedHST,FashionMNIST,0.5,0.7,0.9999,21,0.5518625611305237,0.7972251331428443,80.42,27,100,54410,11.25167727470398,11.23893117904663,0.012746095657348633,0.012120485305786133,122.98046875,2
FedHST,FashionMNIST,0.5,0.7,0.9999,22,0.5436045594215393,0.7898030958540498,80.28,24,100,54410,9.569071054458618,9.560021162033081,0.00904989242553711,0.008533954620361328,122.98046875,2
FedHST,FashionMNIST,0.5,0.7,0.9999,23,0.5609439777612686,0.783922310513052,80.69,27,100,54410,8.90713381767273,8.8958580493927,0.011275768280029297,0.01066279411315918,122.98046875,2
FedHST,FashionMNIST,0.5,0.7,0.9999,24,0.5178071168899536,0.797089965689266,80.98,26,100,54410,8.119011402130127,8.107702016830444,0.011309385299682617,0.010760068893432617,122.98046875,2
FedHST,FashionMNIST,0.5,0.7,0.9999,25,0.48797700781822206,0.8161846802057842,82.35,21,100,54410,8.338887691497803,8.329823970794678,0.009063720703125,0.008517980575561523,122.98046875,2
FedHST,FashionMNIST,0.5,0.7,0.9999,26,0.4090102967262268,0.8506364742486635,85.37,27,100,54410,11.999860048294067,11.988290786743164,0.01156926155090332,0.010974407196044922,122.98046875,2
FedHST,FashionMNIST,0.5,0.7,0.9999,27,0.4680906558036804,0.8255956613151518,82.89,25,100,54410,10.54365348815918,10.533444881439209,0.010208606719970703,0.009666919708251953,122.98046875,2
FedHST,FashionMNIST,0.5,0.7,0.9999,28,0.5348038799762725,0.8084852250018288,81.55,22,100,54410,11.56458306312561,11.555673837661743,0.008909225463867188,0.008355855941772461,122.98046875,2
