Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Alpha_Config
FedAdam,FashionMNIST,,0.9,0.999,48,0.2966763002157211,0.8934880622910647,89.48,27,100,54410,4.341961860656738,4.333934783935547,0.008027076721191406,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,49,0.294701957321167,0.8939232396632051,89.51,25,100,54410,3.9759178161621094,3.9689300060272217,0.006987810134887695,,122.966796875,100.0
FedAdam,FashionMNIST,,0.9,0.999,50,0.29560441689491274,0.893168813015999,89.43,30,100,54410,4.962381601333618,4.954102039337158,0.008279561996459961,,122.966796875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,1,1.021610256099701,0.7175223658013119,73.31,30,100,54410,5.056742429733276,5.043914556503296,0.012827873229980469,0.012260198593139648,122.7568359375,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,2,0.6954149236679077,0.7222530747204803,74.6,26,100,54410,4.004624128341675,3.9936890602111816,0.010935068130493164,0.010400533676147461,122.7568359375,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,3,0.6913607905864716,0.747729664373208,76.43,30,100,54410,4.511247396469116,4.498211860656738,0.01303553581237793,0.012380599975585938,122.98046875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,4,0.6978931563854217,0.7674704417943404,78.22,23,100,54410,3.3938891887664795,3.3847568035125732,0.00913238525390625,0.008610963821411133,122.98046875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,5,0.6460539701461792,0.7863361324452073,79.62,26,100,54410,3.9364781379699707,3.9256677627563477,0.010810375213623047,0.010244131088256836,122.98046875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,6,0.5758549766778946,0.8051655030037839,80.94,24,100,54410,3.630728244781494,3.6199228763580322,0.010805368423461914,0.010161399841308594,122.98046875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,7,0.5065959919452667,0.8254618261294786,82.48,28,100,54410,4.207667112350464,4.195616006851196,0.012051105499267578,0.011444091796875,122.98046875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,8,0.5019073471069336,0.8231082789832194,81.85,24,100,54410,3.673046112060547,3.662801742553711,0.010244369506835938,0.00959324836730957,122.98046875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,9,0.5956798323631287,0.7879852593482,78.13,25,100,54410,3.7968945503234863,3.7855958938598633,0.011298656463623047,0.010653257369995117,122.98046875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,10,0.765152994441986,0.7238553233119004,72.35,20,100,54410,3.0437116622924805,3.0345547199249268,0.009156942367553711,0.00852513313293457,122.98046875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,11,0.8385055159568786,0.6997675836587167,70.78,20,100,54410,3.0985140800476074,3.088865041732788,0.009649038314819336,0.009027242660522461,122.98046875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,12,0.7622890882968902,0.7278819888577673,73.71,30,100,54410,4.419069290161133,4.405988931655884,0.013080358505249023,0.012434244155883789,122.98046875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,13,0.608086775970459,0.7827760111833951,78.74,29,100,54410,4.4562156200408936,4.442927837371826,0.013287782669067383,0.012641429901123047,122.98046875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,14,0.4807227121353149,0.8275221622101043,83.01,22,100,54410,3.3148539066314697,3.3050851821899414,0.00976872444152832,0.009184837341308594,122.98046875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,15,0.44081471128463745,0.8470658721381479,84.8,28,100,54410,4.298063278198242,4.2857825756073,0.012280702590942383,0.01163935661315918,122.98046875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,16,0.43954974172115324,0.8522585916879846,85.25,28,100,54410,4.346305847167969,4.333644390106201,0.012661457061767578,0.012037992477416992,122.98046875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,17,0.4362436496853828,0.8568610387002517,85.69,26,100,54410,4.278653383255005,4.266481637954712,0.012171745300292969,0.01154637336730957,122.98046875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,18,0.42636689758300783,0.8591465738216355,86.0,21,100,54410,3.1946163177490234,3.1853058338165283,0.009310483932495117,0.008724212646484375,122.98046875,100.0
FedHST,FashionMNIST,0.5,0.9,0.999,19,0.41751718406677246,0.8595104720571015,86.18,28,100,54410,4.361546754837036,4.3482372760772705,0.013309478759765625,0.012641191482543945,122.98046875,100.0
