Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Num_Clients_Config
FedAdam,FashionMNIST,,0.9,0.999,18,0.42555348892211914,0.8499886708652584,84.84,11,50,54410,3.8456313610076904,3.8412704467773438,0.00436091423034668,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,19,0.4861660712242126,0.8225059748884614,81.93,15,50,54410,3.740692138671875,3.735917806625366,0.004774332046508789,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,20,0.4808640330791473,0.8264570991273077,82.6,13,50,54410,3.815579891204834,3.811417579650879,0.004162311553955078,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,21,0.5146796969890595,0.8077234709771066,81.78,11,50,54410,3.7131056785583496,3.7095155715942383,0.003590106964111328,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,22,0.8100977629184722,0.7260232535921706,75.88,13,50,54410,4.736621379852295,4.731897830963135,0.004723548889160156,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,23,0.7601752009391785,0.7432153047342052,77.42,15,50,54410,4.791150808334351,4.78668999671936,0.004460811614990234,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,24,0.4581486031293869,0.8326876590490985,84.65,10,50,54410,2.571819543838501,2.567877769470215,0.003941774368286133,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,25,0.5358398010969162,0.8128724313931265,81.84,10,50,54410,3.3452141284942627,3.3415162563323975,0.0036978721618652344,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,26,0.7474162228107453,0.7467667886229445,75.95,15,50,54410,3.1024324893951416,3.097968339920044,0.004464149475097656,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,27,0.6775541825532914,0.7663900112320255,77.8,10,50,54410,2.3956735134124756,2.391793727874756,0.0038797855377197266,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,28,0.4947153561592102,0.8223404182520258,82.84,11,50,54410,2.7293975353240967,2.725302219390869,0.004095315933227539,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,29,0.6026772209644318,0.7762434988360531,78.95,11,50,54410,1.919191598892212,1.9156413078308105,0.003550291061401367,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,30,0.5526020891189575,0.7983673303920015,81.45,15,50,54410,3.9264650344848633,3.9217920303344727,0.004673004150390625,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,31,0.5006400304317474,0.834723711102043,84.08,11,50,54410,2.9189536571502686,2.915329933166504,0.0036237239837646484,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,32,0.44944248299598694,0.8446538156580432,84.84,10,50,54410,3.277453899383545,3.273766279220581,0.003687620162963867,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,33,0.4213371129989624,0.8513560913097342,85.36,12,50,54410,3.660168409347534,3.656280994415283,0.0038874149322509766,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,34,0.41378959040641783,0.8574954271246872,85.76,11,50,54410,2.849358081817627,2.845521926879883,0.0038361549377441406,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,35,0.5462043604850769,0.8145509532899204,81.03,10,50,54410,2.8432819843292236,2.8392796516418457,0.00400233268737793,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,36,0.6419656065940857,0.7838476661553208,78.92,13,50,54410,2.481255292892456,2.477236747741699,0.004018545150756836,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,37,0.6622036816358566,0.7793511632409276,79.4,11,50,54410,2.8897106647491455,2.8856122493743896,0.004098415374755859,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,38,0.7594799485445023,0.7517232435791272,77.8,10,50,54410,3.320202350616455,3.316275119781494,0.0039272308349609375,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,39,0.7088456889629364,0.7647359811151112,79.15,12,50,54410,3.352560043334961,3.348590135574341,0.003969907760620117,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,40,0.61042754778862,0.7923319304554836,81.48,12,50,54410,3.6497998237609863,3.6460397243499756,0.003760099411010742,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,41,0.5850127789020538,0.7917929531462423,81.6,12,50,54410,3.009805917739868,3.0060195922851562,0.003786325454711914,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,42,0.5072440009832382,0.8183259931408792,83.03,13,50,54410,3.8521201610565186,3.847534418106079,0.004585742950439453,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,43,0.39707655990123747,0.8562864626802684,85.7,11,50,54410,3.5056350231170654,3.5014166831970215,0.004218339920043945,,98.93359375,50
FedAdam,FashionMNIST,,0.9,0.999,44,0.5562858309984207,0.7988570323289437,80.69,13,50,54410,3.5285356044769287,3.524418592453003,0.004117012023925781,,98.93359375,50
