Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Participation_Frac
FedHST,FashionMNIST,0.5,0.9,0.999,34,0.664985895061493,0.7649902181926445,76.71,8,100,54410,1.067044734954834,1.0622992515563965,0.0047454833984375,0.0041768550872802734,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,35,0.7383652032852173,0.7373831670157711,75.18,8,100,54410,1.2088367938995361,1.2043542861938477,0.0044825077056884766,0.003903627395629883,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,36,0.7553794258117675,0.7331213560769354,75.18,8,100,54410,1.0961644649505615,1.0915093421936035,0.004655122756958008,0.0040628910064697266,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,37,0.7383392330169678,0.7332675083743193,75.26,5,100,54410,0.6096422672271729,0.605851411819458,0.0037908554077148438,0.0031332969665527344,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,38,0.6931994089126587,0.7463117361665483,76.21,6,100,54410,0.43592214584350586,0.4318230152130127,0.004099130630493164,0.0035200119018554688,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,39,0.7070758807182312,0.7341076603481901,75.06,5,100,54410,0.5948219299316406,0.5910623073577881,0.003759622573852539,0.0031251907348632812,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,40,0.6759075852394104,0.7546550232962125,76.56,8,100,54410,0.7155513763427734,0.7111201286315918,0.004431247711181641,0.003885030746459961,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,41,0.6708667546749115,0.765835715855048,77.74,6,100,54410,0.4479389190673828,0.4439074993133545,0.00403141975402832,0.003423452377319336,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,42,0.6979734592914582,0.7620468739843191,77.82,9,100,54410,1.595015048980713,1.5901076793670654,0.004907369613647461,0.004387855529785156,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,43,0.7902344581127166,0.7324843679803658,75.92,5,100,54410,0.6849608421325684,0.6815872192382812,0.0033736228942871094,0.002835988998413086,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,44,0.7226635871887207,0.7505117601185776,77.13,5,100,54410,0.5634398460388184,0.5597527027130127,0.003687143325805664,0.0030748844146728516,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,45,0.6143680144071579,0.7827718652592585,79.4,6,100,54410,1.4345283508300781,1.4303219318389893,0.004206418991088867,0.003543376922607422,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,46,0.5290701489925385,0.8129613763292165,81.79,10,100,54410,0.8986999988555908,0.893460750579834,0.005239248275756836,0.004656553268432617,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,47,0.45658794622421267,0.8415070518314952,84.02,6,100,54410,0.9421615600585938,0.9382567405700684,0.0039048194885253906,0.003302335739135742,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,48,0.4866121278762817,0.8267392386174442,82.22,5,100,54410,0.9198579788208008,0.9160242080688477,0.003833770751953125,0.003238677978515625,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,49,0.5927003771781921,0.7905782236889487,78.52,5,100,54410,0.780968427658081,0.7773573398590088,0.0036110877990722656,0.0030412673950195312,118.79248046875,0.05-0.10
FedHST,FashionMNIST,0.5,0.9,0.999,50,0.7771731750488281,0.7464846824082205,74.23,7,100,54410,1.0883593559265137,1.0836825370788574,0.00467681884765625,0.004042148590087891,118.79248046875,0.05-0.10
FedAdam,FashionMNIST,,0.9,0.999,1,3.832808969497681,0.16520001201763906,25.01,30,100,54410,5.030354261398315,5.022412538528442,0.007941722869873047,,122.7568359375,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,2,2.224024892807007,0.3007757017149165,38.47,26,100,54410,4.380691051483154,4.372758150100708,0.007932901382446289,,122.7568359375,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,3,1.7567244785308838,0.47758562927216913,51.59,30,100,54410,4.976024866104126,4.967567205429077,0.008457660675048828,,122.966796875,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,4,1.7536198490142823,0.429045874747451,47.5,23,100,54410,2.940270185470581,2.933342456817627,0.0069277286529541016,,122.966796875,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,5,1.1471710628509522,0.5828107069751234,62.12,26,100,54410,3.5486772060394287,3.540879249572754,0.007797956466674805,,122.966796875,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,6,1.2489497984886169,0.5980170933897396,64.82,24,100,54410,4.23607873916626,4.228936195373535,0.007142543792724609,,122.966796875,0.20-0.30
FedAdam,FashionMNIST,,0.9,0.999,7,1.238066039466858,0.643503434041704,68.35,28,100,54410,4.264589786529541,4.2567291259765625,0.007860660552978516,,122.966796875,0.20-0.30
