Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Sweep_Type
FedHST,FashionMNIST,0.5,0.9,0.999,8,0.8347495900154114,0.6619187845865934,69.54,24,100,54410,3.2929527759552,3.282794713973999,0.010158061981201172,0.009614706039428711,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.9,0.999,9,0.8077207558631897,0.6581680698735044,69.49,25,100,54410,3.1248128414154053,3.1137728691101074,0.011039972305297852,0.01043558120727539,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.9,0.999,10,0.7754443742752075,0.6588422120009255,68.58,20,100,54410,2.7088775634765625,2.7000296115875244,0.008847951889038086,0.00823211669921875,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.9,0.999,11,0.7025494688034057,0.7188845456152464,72.87,20,100,54410,2.1471171379089355,2.1376428604125977,0.00947427749633789,0.008863449096679688,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.9,0.999,12,0.6854553599357605,0.7293543841685249,74.27,30,100,54410,4.383165121078491,4.3706865310668945,0.01247859001159668,0.011870861053466797,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.9,0.999,13,0.6874646472930909,0.7294525705711163,74.67,29,100,54410,4.019050598144531,4.006849527359009,0.012201070785522461,0.011646509170532227,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.9,0.999,14,0.7049600583553314,0.7292319109444523,74.97,22,100,54410,3.57680344581604,3.567744016647339,0.009059429168701172,0.008503913879394531,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.9,0.999,15,0.6780240052700043,0.7359219938964712,76.21,28,100,54410,4.349258899688721,4.337767601013184,0.01149129867553711,0.010968446731567383,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.9,0.999,16,0.64457342877388,0.748545552326122,77.45,28,100,54410,5.09213662147522,5.080894470214844,0.011242151260375977,0.010591745376586914,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.9,0.999,17,0.6185066715717316,0.7637300633914841,78.18,26,100,54410,4.101621150970459,4.089850425720215,0.01177072525024414,0.011172771453857422,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.9,0.999,18,0.5820757942199707,0.780681777405862,79.1,21,100,54410,2.9891679286956787,2.978759527206421,0.010408401489257812,0.009770393371582031,122.98046875,beta1
FedHST,FashionMNIST,0.5,0.9,0.999,19,0.5529066819190979,0.7909152251330248,79.61,28,100,54410,4.539846658706665,4.527862548828125,0.011984109878540039,0.011437416076660156,122.98046875,beta1
