Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Local_Epochs_Config
FedHST,FashionMNIST,0.5,0.9,0.999,46,0.4049624097108841,0.8541322660694657,85.27,30,100,54410,4.356117010116577,4.3436219692230225,0.012495040893554688,0.011924505233764648,122.98095703125,1
FedHST,FashionMNIST,0.5,0.9,0.999,47,0.3932441867828369,0.8580294312168182,85.8,27,100,54410,3.303117275238037,3.2917227745056152,0.011394500732421875,0.010815620422363281,122.98095703125,1
FedHST,FashionMNIST,0.5,0.9,0.999,48,0.3881531877040863,0.8609852097058768,86.27,27,100,54410,4.335015773773193,4.322876214981079,0.012139558792114258,0.011545658111572266,122.98095703125,1
FedHST,FashionMNIST,0.5,0.9,0.999,49,0.39100050089359284,0.8577231275854496,86.08,25,100,54410,3.1036548614501953,3.09376859664917,0.00988626480102539,0.009372711181640625,122.98095703125,1
FedHST,FashionMNIST,0.5,0.9,0.999,50,0.3870585387468338,0.8585578778122762,86.23,30,100,54410,3.998342990875244,3.9850335121154785,0.013309478759765625,0.012684106826782227,122.98095703125,1
FedAdam,FashionMNIST,,0.9,0.999,1,3.9042429611206053,0.10388655168226217,21.2,30,100,54410,14.816431283950806,14.80912446975708,0.007306814193725586,,122.7568359375,3
FedAdam,FashionMNIST,,0.9,0.999,2,2.0868565593719484,0.34008753574784156,42.87,26,100,54410,11.418647766113281,11.411645889282227,0.0070018768310546875,,122.7568359375,3
FedAdam,FashionMNIST,,0.9,0.999,3,1.5379571323394776,0.5908106228556592,61.91,30,100,54410,13.081774473190308,13.073964834213257,0.007809638977050781,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,4,1.3651043035507202,0.5278782762293005,56.06,23,100,54410,8.882220983505249,8.876356363296509,0.005864620208740234,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,5,0.7874021192550659,0.7089633485664499,72.34,26,100,54410,11.371277809143066,11.363779067993164,0.007498741149902344,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,6,1.146865996646881,0.6544323193681502,69.76,24,100,54410,12.401031255722046,12.393386363983154,0.0076448917388916016,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,7,1.0460821286201476,0.6905510747873672,72.42,28,100,54410,11.996177196502686,11.988358497619629,0.00781869888305664,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,8,0.644248175907135,0.7879837770335987,78.92,24,100,54410,9.651476860046387,9.64469313621521,0.006783723831176758,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,9,0.7724560707092285,0.7623908633542971,76.53,25,100,54410,9.647798538208008,9.640916109085083,0.006882429122924805,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,10,0.7676996907711029,0.7712738666875681,77.76,20,100,54410,8.23905062675476,8.232528924942017,0.006521701812744141,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,11,0.6470669666290283,0.8003167487868634,80.83,20,100,54410,6.612279415130615,6.606855392456055,0.005424022674560547,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,12,0.6174491934776306,0.7947319868926682,81.34,30,100,54410,13.608375549316406,13.599695205688477,0.008680343627929688,,122.966796875,3
FedAdam,FashionMNIST,,0.9,0.999,13,0.5643718386650085,0.8074687194477498,81.56,29,100,54410,12.93525218963623,12.928157806396484,0.007094383239746094,,122.966796875,3
