Algorithm,Dataset,Gamma,Beta1,Beta2,Round,Global_Validation_Loss,F1_Score,Top1_Accuracy_Percent,Num_Selected_Clients,Num_Total_Clients,Num_Model_Params,Round_Time_Sec,Client_Time_Sec,Server_Time_Sec,Spatial_Var_Time_Sec,Peak_Memory_MB,Seed
FedHST,FashionMNIST,0.1,0.9,0.999,31,0.42447136068344116,0.8505140330761529,84.82,25,100,54410,3.409227132797241,3.397751808166504,0.011475324630737305,0.010788440704345703,122.98095703125,42
FedHST,FashionMNIST,0.1,0.9,0.999,32,0.47469329409599303,0.8234079074105816,82.13,25,100,54410,3.5356364250183105,3.5241689682006836,0.011467456817626953,0.01082921028137207,122.98095703125,42
FedHST,FashionMNIST,0.1,0.9,0.999,33,0.47965980010032655,0.8237847759748714,82.33,27,100,54410,4.943166017532349,4.930988550186157,0.012177467346191406,0.011583805084228516,122.98095703125,42
FedHST,FashionMNIST,0.1,0.9,0.999,34,0.44016396358013155,0.8404570313421111,84.09,29,100,54410,5.441673040390015,5.428778648376465,0.012894392013549805,0.012274503707885742,122.98095703125,42
FedHST,FashionMNIST,0.1,0.9,0.999,35,0.4275852623701096,0.8436151997847094,84.94,27,100,54410,4.505638360977173,4.493408918380737,0.012229442596435547,0.01166391372680664,122.98095703125,42
FedHST,FashionMNIST,0.1,0.9,0.999,36,0.44809535489082336,0.8279788869584707,84.22,26,100,54410,5.017136335372925,5.005214214324951,0.011922121047973633,0.011268138885498047,122.98095703125,42
FedHST,FashionMNIST,0.1,0.9,0.999,37,0.5083247893095016,0.7952620658254259,81.36,22,100,54410,4.2992284297943115,4.290013790130615,0.009214639663696289,0.008677005767822266,122.98095703125,42
FedHST,FashionMNIST,0.1,0.9,0.999,38,0.5939352886199951,0.7636681216420754,78.8,25,100,54410,3.4845213890075684,3.473362684249878,0.01115870475769043,0.010556936264038086,122.98095703125,42
FedHST,FashionMNIST,0.1,0.9,0.999,39,0.5929768335819244,0.7628595792151018,78.67,27,100,54410,4.649893045425415,4.6377880573272705,0.012104988098144531,0.011541604995727539,122.98095703125,42
FedHST,FashionMNIST,0.1,0.9,0.999,40,0.4930091342926025,0.8055555114174661,81.73,27,100,54410,4.5477213859558105,4.537120819091797,0.010600566864013672,0.010048389434814453,122.98095703125,42
FedHST,FashionMNIST,0.1,0.9,0.999,41,0.3988452877759934,0.8518123914284589,85.39,26,100,54410,4.670597791671753,4.659360647201538,0.011237144470214844,0.010658502578735352,122.98095703125,42
FedHST,FashionMNIST,0.1,0.9,0.999,42,0.412370508480072,0.8467603282793116,84.42,28,100,54410,4.454986810684204,4.442833185195923,0.01215362548828125,0.01152658462524414,122.98095703125,42
FedHST,FashionMNIST,0.1,0.9,0.999,43,0.4803061091423035,0.8106068623743281,81.49,26,100,54410,3.60237455368042,3.591153144836426,0.01122140884399414,0.010574579238891602,122.98095703125,42
FedHST,FashionMNIST,0.1,0.9,0.999,44,0.4868202493190765,0.8136888736078562,82.06,29,100,54410,5.039306640625,5.027347803115845,0.011958837509155273,0.011416435241699219,122.98095703125,42
FedHST,FashionMNIST,0.1,0.9,0.999,45,0.4821896806240082,0.8224440375387136,82.54,26,100,54410,3.0784308910369873,3.0671193599700928,0.011311531066894531,0.010740041732788086,122.98095703125,42
FedHST,FashionMNIST,0.1,0.9,0.999,46,0.44851214933395384,0.8381786828845268,83.99,30,100,54410,4.575371026992798,4.563192844390869,0.012178182601928711,0.011597156524658203,122.98095703125,42
FedHST,FashionMNIST,0.1,0.9,0.999,47,0.4118387971878052,0.8515100530402269,85.72,27,100,54410,3.314765453338623,3.304597854614258,0.010167598724365234,0.00969076156616211,122.98095703125,42
FedHST,FashionMNIST,0.1,0.9,0.999,48,0.4149226007461548,0.8476669228042238,85.5,27,100,54410,4.3259663581848145,4.3144354820251465,0.011530876159667969,0.01092672348022461,122.98095703125,42
FedHST,FashionMNIST,0.1,0.9,0.999,49,0.4300663952827454,0.8377355381409848,84.4,25,100,54410,3.118635654449463,3.1081783771514893,0.010457277297973633,0.009903669357299805,122.98095703125,42
FedHST,FashionMNIST,0.1,0.9,0.999,50,0.4163045553445816,0.8441415782836869,84.85,30,100,54410,4.0366809368133545,4.0237812995910645,0.012899637222290039,0.012292146682739258,122.98095703125,42
FedHST,FashionMNIST,0.3,0.9,0.999,1,2.0345234371185303,0.1839411229628885,26.42,30,100,54410,5.95527982711792,5.941684722900391,0.013595104217529297,0.012980461120605469,122.7568359375,42
FedHST,FashionMNIST,0.3,0.9,0.999,2,1.5421648111343385,0.3417528777093791,43.21,26,100,54410,4.303135395050049,4.291122674942017,0.012012720108032227,0.011411666870117188,122.7568359375,42
FedHST,FashionMNIST,0.3,0.9,0.999,3,1.208513875579834,0.4617305678924494,52.83,30,100,54410,4.696372032165527,4.684165954589844,0.012206077575683594,0.011576652526855469,122.98046875,42
FedHST,FashionMNIST,0.3,0.9,0.999,4,1.041041517162323,0.5851979036847894,62.57,23,100,54410,2.9565865993499756,2.946718215942383,0.009868383407592773,0.009295940399169922,122.98046875,42
FedHST,FashionMNIST,0.3,0.9,0.999,5,0.8474148967742919,0.6870344968049885,70.77,26,100,54410,3.84916615486145,3.8389179706573486,0.010248184204101562,0.009735584259033203,122.98046875,42
FedHST,FashionMNIST,0.3,0.9,0.999,6,0.7512722575187684,0.7343701623424261,74.11,24,100,54410,4.6932899951934814,4.684072494506836,0.009217500686645508,0.008658170700073242,122.98046875,42
FedHST,FashionMNIST,0.3,0.9,0.999,7,0.8212093245506287,0.6770266606823168,70.04,28,100,54410,4.381930828094482,4.370580673217773,0.011350154876708984,0.010744571685791016,122.98046875,42
FedHST,FashionMNIST,0.3,0.9,0.999,8,0.8579422117233276,0.6403339194203992,68.1,24,100,54410,3.2741339206695557,3.264126777648926,0.010007143020629883,0.009485721588134766,122.98046875,42
FedHST,FashionMNIST,0.3,0.9,0.999,9,0.8362950533866882,0.6186128720799717,66.38,25,100,54410,3.1057822704315186,3.095593214035034,0.010189056396484375,0.009663581848144531,122.98046875,42
FedHST,FashionMNIST,0.3,0.9,0.999,10,0.8009085744857788,0.6451735215317331,67.37,20,100,54410,2.6765713691711426,2.6668190956115723,0.009752273559570312,0.009046077728271484,122.98046875,42
FedHST,FashionMNIST,0.3,0.9,0.999,11,0.7278448809623719,0.7231975703605579,72.95,20,100,54410,2.377269983291626,2.368234157562256,0.009035825729370117,0.008495092391967773,122.98046875,42
